marketBeat;assetId;buyQuote;sellQuote;reportedDate;pollTime;pollDate
3;AGRO.BA;42.2;42.2;2022-04-25 16:59:39;1650951478;2022-04-26 02:37:58
3;BHIP.BA;7.68;7.68;2022-04-25 16:57:44;1650951478;2022-04-26 02:37:58
3;BOLT.BA;4.48;4.48;2022-04-25 16:59:25;1650951478;2022-04-26 02:37:58
3;BPAT.BA;75;75;2022-04-22 16:47:34;1650951478;2022-04-26 02:37:58
3;CADO.BA;44.4;44.4;2022-04-25 16:38:56;1650951478;2022-04-26 02:37:58
3;CAPX.BA;272.5;272.5;2022-04-25 16:56:59;1650951478;2022-04-26 02:37:58
3;CARC.BA;1.85;1.85;2022-04-25 16:59:42;1650951478;2022-04-26 02:37:58
3;CECO2.BA;28.9;28.9;2022-04-25 16:59:44;1650951478;2022-04-26 02:37:58
3;CELU.BA;30;30;2022-04-25 16:54:24;1650951478;2022-04-26 02:37:58
3;CGPA2.BA;52;52;2022-04-25 16:55:26;1650951478;2022-04-26 02:37:58
3;CTIO.BA;278.5;278.5;2022-04-25 16:51:18;1650951478;2022-04-26 02:37:58
3;DGCU2.BA;53.8;53.8;2022-04-25 16:56:59;1650951478;2022-04-26 02:37:58
3;DOME.BA;14;14;2022-04-20 14:09:19;1650951478;2022-04-26 02:37:58
3;DYCA.BA;115.5;115.5;2022-04-22 16:18:18;1650951478;2022-04-26 02:37:58
3;FERR.BA;13.4;13.4;2022-04-25 16:59:27;1650951478;2022-04-26 02:37:58
3;FIPL.BA;17.4;17.4;2022-04-25 14:14:12;1650951478;2022-04-26 02:37:58
3;GAMI.BA;49.65;49.65;2022-04-25 16:49:13;1650951478;2022-04-26 02:37:58
3;GARO.BA;30.8;30.8;2022-04-25 17:00:14;1650951478;2022-04-26 02:37:58
3;GBAN.BA;109;109;2022-04-21 15:08:44;1650951478;2022-04-26 02:37:58
3;GCLA.BA;163.55;163.55;2022-04-25 16:48:37;1650951478;2022-04-26 02:37:58
3;GRIM.BA;86.8;86.8;2022-04-25 16:55:23;1650951478;2022-04-26 02:37:58
3;HARG.BA;154.5;154.5;2022-04-25 16:52:41;1650951478;2022-04-26 02:37:58
3;HAVA.BA;145;145;2022-04-25 14:47:32;1650951478;2022-04-26 02:37:58
3;INTR.BA;21.4;21.4;2022-04-25 16:20:06;1650951478;2022-04-26 02:37:58
3;INVJ.BA;27.15;27.15;2022-04-25 16:59:26;1650951478;2022-04-26 02:37:58
3;IRCP.BA;137.8;137.8;2022-04-25 16:59:00;1650951478;2022-04-26 02:37:58
3;IRSA.BA;104.85;104.85;2022-04-25 16:59:57;1650951478;2022-04-26 02:37:58
3;LEDE.BA;77.1;77.1;2022-04-25 16:40:44;1650951478;2022-04-26 02:37:58
3;LONG.BA;11;11;2022-04-25 16:44:35;1650951478;2022-04-26 02:37:58
3;METR.BA;37.55;37.55;2022-04-25 16:58:59;1650951478;2022-04-26 02:37:58
3;MOLA.BA;1358;1358;2022-04-25 16:13:28;1650951478;2022-04-26 02:37:58
3;MOLI.BA;120;120;2022-04-25 16:59:50;1650951478;2022-04-26 02:37:58
3;MORI.BA;13;13;2022-04-25 16:36:53;1650951478;2022-04-26 02:37:58
3;OEST.BA;43.95;43.95;2022-04-25 16:31:49;1650951478;2022-04-26 02:37:58
3;PATA.BA;41.95;41.95;2022-04-22 14:31:26;1650951478;2022-04-26 02:37:58
3;PGR.BA;12;12;2022-04-25 16:59:07;1650951478;2022-04-26 02:37:58
3;RICH.BA;237.25;237.25;2022-04-25 16:51:02;1650951478;2022-04-26 02:37:58
3;RIGO.BA;175;175;2022-04-25 13:42:18;1650951478;2022-04-26 02:37:58
3;SAMI.BA;112.5;112.5;2022-04-25 16:56:35;1650951478;2022-04-26 02:37:58
3;SEMI.BA;6.5;6.5;2022-04-25 16:53:36;1650951478;2022-04-26 02:37:58
3;TGLT.BA;3.48;3.48;2022-04-25 16:59:48;1650951478;2022-04-26 02:37:58
